Name      Surname   FinalGrade
Name6237  Surname1       4.99           
Name6040  Surname2       4.99           
Name1358  Surname2       4.99           
Name4226  Surname2       4.99           
Name3979  Surname1       4.99           
Name5     Surname1       4.99           
Name5689  Surname1       4.99           
Name8114  Surname2       4.99           
Name865   Surname1       4.99           
Name5444  Surname2       4.99           
Name4260  Surname2       4.99           
Name1347  Surname1       4.99           
Name8628  Surname2       4.99           
Name5451  Surname1       4.99           
Name5278  Surname2       4.99           
Name6798  Surname2       4.99           
Name5782  Surname2       4.99           
Name6058  Surname2       4.99           
Name8579  Surname1       4.99           
Name5781  Surname1       4.98           
Name1881  Surname1       4.98           
Name1213  Surname1       4.98           
Name8386  Surname2       4.98           
Name4684  Surname2       4.98           
Name4241  Surname1       4.98           
Name3556  Surname2       4.98           
Name5533  Surname1       4.98           
Name308   Surname2       4.98           
Name4397  Surname1       4.98           
Name5188  Surname2       4.98           
Name2021  Surname1       4.98           
Name4852  Surname2       4.98           
Name1332  Surname2       4.98           
Name3073  Surname1       4.98           
Name888   Surname2       4.98           
Name1004  Surname2       4.97           
Name767   Surname1       4.97           
Name1569  Surname1       4.97           
Name4710  Surname2       4.97           
Name2982  Surname2       4.97           
Name7371  Surname1       4.97           
Name104   Surname2       4.97           
Name3770  Surname2       4.97           
Name7922  Surname2       4.97           
Name2077  Surname1       4.97           
Name1643  Surname1       4.97           
Name2265  Surname1       4.97           
Name3166  Surname2       4.97           
Name4507  Surname1       4.97           
Name211   Surname1       4.97           
Name1911  Surname1       4.96           
Name724   Surname2       4.96           
Name1480  Surname2       4.96           
Name7814  Surname2       4.96           
Name523   Surname1       4.96           
Name8689  Surname1       4.96           
Name7487  Surname1       4.96           
Name7806  Surname2       4.96           
Name6741  Surname1       4.96           
Name7122  Surname2       4.96           
Name6894  Surname2       4.96           
Name8767  Surname1       4.96           
Name5173  Surname1       4.96           
Name8275  Surname1       4.96           
Name8949  Surname1       4.96           
Name29    Surname1       4.96           
Name1190  Surname2       4.96           
Name1303  Surname1       4.95           
Name1378  Surname2       4.95           
Name2944  Surname2       4.95           
Name2792  Surname2       4.95           
Name5000  Surname2       4.95           
Name2605  Surname1       4.95           
Name3446  Surname2       4.95           
Name5138  Surname2       4.95           
Name4292  Surname2       4.95           
Name3779  Surname1       4.95           
Name7236  Surname2       4.95           
Name9682  Surname2       4.95           
Name591   Surname1       4.95           
Name8778  Surname2       4.95           
Name3145  Surname1       4.95           
Name9749  Surname1       4.95           
Name2186  Surname2       4.95           
Name5736  Surname2       4.95           
Name9234  Surname2       4.95           
Name7360  Surname2       4.94           
Name6134  Surname2       4.94           
Name3142  Surname2       4.94           
Name1183  Surname1       4.94           
Name3067  Surname1       4.94           
Name3258  Surname2       4.94           
Name6834  Surname2       4.94           
Name5085  Surname1       4.94           
Name7648  Surname2       4.94           
Name5243  Surname1       4.94           
Name5629  Surname1       4.94           
Name4495  Surname1       4.94           
Name1657  Surname1       4.94           
Name9552  Surname2       4.94           
Name4900  Surname2       4.94           
Name8312  Surname2       4.94           
Name8416  Surname2       4.94           
Name6154  Surname2       4.94           
Name2619  Surname1       4.94           
Name8993  Surname1       4.94           
Name403   Surname1       4.94           
Name5553  Surname1       4.93           
Name3565  Surname1       4.93           
Name3531  Surname1       4.93           
Name3464  Surname2       4.93           
Name8552  Surname2       4.93           
Name225   Surname1       4.93           
Name1211  Surname1       4.93           
Name4534  Surname2       4.93           
Name4713  Surname1       4.93           
Name5299  Surname1       4.93           
Name4462  Surname2       4.93           
Name2276  Surname2       4.93           
Name2889  Surname1       4.93           
Name2197  Surname1       4.93           
Name7592  Surname2       4.93           
Name2490  Surname2       4.92           
Name8418  Surname2       4.92           
Name8835  Surname1       4.92           
Name7733  Surname1       4.92           
Name2888  Surname2       4.92           
Name5387  Surname1       4.92           
Name7227  Surname1       4.92           
Name7090  Surname2       4.92           
Name7793  Surname1       4.92           
Name3235  Surname1       4.92           
Name6015  Surname1       4.92           
Name5093  Surname1       4.92           
Name8011  Surname1       4.92           
Name5932  Surname2       4.92           
Name5894  Surname2       4.92           
Name2044  Surname2       4.92           
Name6629  Surname1       4.92           
Name1418  Surname2       4.91           
Name2008  Surname2       4.91           
Name6693  Surname1       4.91           
Name6482  Surname2       4.91           
Name7898  Surname2       4.91           
Name4938  Surname2       4.91           
Name9334  Surname2       4.91           
Name9937  Surname1       4.91           
Name7104  Surname2       4.91           
Name5766  Surname2       4.91           
Name7276  Surname2       4.91           
Name3534  Surname2       4.91           
Name1714  Surname2       4.91           
Name4300  Surname2       4.91           
Name5210  Surname2       4.91           
Name4970  Surname2       4.91           
Name4402  Surname2       4.91           
Name2716  Surname2       4.90           
Name6361  Surname1       4.90           
Name6511  Surname1       4.90           
Name7920  Surname2       4.90           
Name9787  Surname1       4.90           
Name3687  Surname1       4.90           
Name5310  Surname2       4.90           
Name4785  Surname1       4.90           
Name1228  Surname2       4.90           
Name2390  Surname2       4.90           
Name7140  Surname2       4.90           
Name7785  Surname1       4.90           
Name9275  Surname1       4.90           
Name2645  Surname1       4.90           
Name114   Surname2       4.89           
Name8914  Surname2       4.89           
Name7942  Surname2       4.89           
Name6372  Surname2       4.89           
Name9994  Surname2       4.89           
Name3966  Surname2       4.89           
Name4183  Surname1       4.89           
Name2983  Surname1       4.89           
Name9040  Surname2       4.89           
Name7768  Surname2       4.89           
Name8270  Surname2       4.89           
Name6415  Surname1       4.89           
Name3141  Surname1       4.89           
Name6405  Surname1       4.89           
Name244   Surname2       4.89           
Name997   Surname1       4.89           
Name3544  Surname2       4.89           
Name5659  Surname1       4.89           
Name9825  Surname1       4.89           
Name4487  Surname1       4.88           
Name8204  Surname2       4.88           
Name7403  Surname1       4.88           
Name7978  Surname2       4.88           
Name8177  Surname1       4.88           
Name8120  Surname2       4.88           
Name266   Surname2       4.88           
Name4312  Surname2       4.88           
Name2424  Surname2       4.88           
Name535   Surname1       4.88           
Name9425  Surname1       4.88           
Name1459  Surname1       4.88           
Name6413  Surname1       4.88           
Name1729  Surname1       4.88           
Name7253  Surname1       4.87           
Name9191  Surname1       4.87           
Name9522  Surname2       4.87           
Name9752  Surname2       4.87           
Name6316  Surname2       4.87           
Name7810  Surname2       4.87           
Name8143  Surname1       4.87           
Name5931  Surname1       4.87           
Name9188  Surname2       4.87           
Name2467  Surname1       4.87           
Name2250  Surname2       4.87           
Name9119  Surname1       4.87           
Name1782  Surname2       4.87           
Name8931  Surname1       4.87           
Name4671  Surname1       4.87           
Name976   Surname2       4.87           
Name2110  Surname2       4.86           
Name517   Surname1       4.86           
Name2413  Surname1       4.86           
Name5732  Surname2       4.86           
Name5187  Surname1       4.86           
Name3081  Surname1       4.86           
Name8322  Surname2       4.86           
Name4599  Surname1       4.86           
Name214   Surname2       4.86           
Name5577  Surname1       4.86           
Name542   Surname2       4.86           
Name1206  Surname2       4.86           
Name6860  Surname2       4.86           
Name1664  Surname2       4.86           
Name276   Surname2       4.86           
Name4670  Surname2       4.85           
Name8956  Surname2       4.85           
Name2950  Surname2       4.85           
Name7757  Surname1       4.85           
Name2119  Surname1       4.85           
Name1896  Surname2       4.85           
Name333   Surname1       4.85           
Name336   Surname2       4.85           
Name5764  Surname2       4.85           
Name6591  Surname1       4.85           
Name4389  Surname1       4.85           
Name9044  Surname2       4.85           
Name8162  Surname2       4.84           
Name6991  Surname1       4.84           
Name4973  Surname1       4.84           
Name663   Surname1       4.84           
Name274   Surname2       4.84           
Name9128  Surname2       4.84           
Name1547  Surname1       4.84           
Name860   Surname2       4.84           
Name7595  Surname1       4.84           
Name9307  Surname1       4.84           
Name9656  Surname2       4.84           
Name7194  Surname2       4.84           
Name3953  Surname1       4.84           
Name1770  Surname2       4.83           
Name9398  Surname2       4.83           
Name7520  Surname2       4.83           
Name6272  Surname2       4.83           
Name3414  Surname2       4.83           
Name7469  Surname1       4.83           
Name3678  Surname2       4.83           
Name3312  Surname2       4.83           
Name5566  Surname2       4.83           
Name8803  Surname1       4.83           
Name3894  Surname2       4.83           
Name2813  Surname1       4.83           
Name4196  Surname2       4.83           
Name2609  Surname1       4.83           
Name8791  Surname1       4.83           
Name7214  Surname2       4.83           
Name8278  Surname2       4.83           
Name1513  Surname1       4.82           
Name227   Surname1       4.82           
Name3318  Surname2       4.82           
Name8231  Surname1       4.82           
Name9908  Surname2       4.82           
Name3030  Surname2       4.82           
Name3511  Surname1       4.82           
Name6333  Surname1       4.82           
Name6129  Surname1       4.82           
Name9941  Surname1       4.82           
