Name      Surname   FinalGrade
Name1111  Surname1       9.20           
Name1485  Surname1       9.14           
Name4408  Surname2       9.06           
Name3566  Surname2       9.02           
Name1045  Surname1       8.94           
Name2209  Surname1       8.92           
Name2775  Surname1       8.89           
Name4195  Surname1       8.88           
Name254   Surname2       8.87           
Name9641  Surname1       8.86           
Name4003  Surname1       8.85           
Name9432  Surname2       8.85           
Name8780  Surname2       8.79           
Name3645  Surname1       8.77           
Name2438  Surname2       8.76           
Name9326  Surname2       8.75           
Name4707  Surname1       8.75           
Name8442  Surname2       8.75           
Name4121  Surname1       8.75           
Name9008  Surname2       8.74           
Name2532  Surname2       8.74           
Name1663  Surname1       8.74           
Name2879  Surname1       8.73           
Name3483  Surname1       8.71           
Name4204  Surname2       8.70           
Name3076  Surname2       8.70           
Name4533  Surname1       8.70           
Name6443  Surname1       8.70           
Name1842  Surname2       8.70           
Name5296  Surname2       8.70           
Name3646  Surname2       8.70           
Name9887  Surname1       8.69           
Name4102  Surname2       8.69           
Name4816  Surname2       8.69           
Name222   Surname2       8.68           
Name794   Surname2       8.68           
Name2018  Surname2       8.68           
Name8615  Surname1       8.67           
Name7629  Surname1       8.67           
Name9130  Surname2       8.67           
Name3851  Surname1       8.67           
Name2258  Surname2       8.65           
Name3469  Surname1       8.64           
Name255   Surname1       8.64           
Name1571  Surname1       8.64           
Name1156  Surname2       8.64           
Name9896  Surname2       8.64           
Name8395  Surname1       8.63           
Name2089  Surname1       8.63           
Name1727  Surname1       8.62           
Name652   Surname2       8.61           
Name4344  Surname2       8.61           
Name5910  Surname2       8.60           
Name449   Surname1       8.60           
Name7158  Surname2       8.60           
Name7531  Surname1       8.59           
Name2251  Surname1       8.59           
Name8830  Surname2       8.59           
Name3179  Surname1       8.58           
Name4585  Surname1       8.58           
Name5177  Surname1       8.58           
Name8530  Surname2       8.57           
Name1177  Surname1       8.56           
Name7940  Surname2       8.56           
Name4742  Surname2       8.56           
Name2006  Surname2       8.55           
Name4318  Surname2       8.55           
Name5541  Surname1       8.55           
Name8857  Surname1       8.55           
Name8209  Surname1       8.54           
Name1813  Surname1       8.54           
Name2464  Surname2       8.54           
Name1176  Surname2       8.53           
Name7161  Surname1       8.53           
Name2523  Surname1       8.53           
Name7379  Surname1       8.53           
Name218   Surname2       8.53           
Name9200  Surname2       8.52           
Name5458  Surname2       8.52           
Name1834  Surname2       8.52           
Name334   Surname2       8.52           
Name4754  Surname2       8.51           
Name8439  Surname1       8.51           
Name4958  Surname2       8.51           
Name324   Surname2       8.51           
Name9277  Surname1       8.50           
Name7866  Surname2       8.50           
Name4415  Surname1       8.50           
Name426   Surname2       8.50           
Name5354  Surname2       8.50           
Name9132  Surname2       8.50           
Name866   Surname2       8.50           
Name8376  Surname2       8.50           
Name619   Surname1       8.49           
Name6800  Surname2       8.49           
Name8723  Surname1       8.49           
Name6400  Surname2       8.49           
Name8295  Surname1       8.48           
Name1570  Surname2       8.48           
Name555   Surname1       8.48           
Name1852  Surname2       8.48           
Name3337  Surname1       8.48           
Name8430  Surname2       8.47           
Name1917  Surname1       8.47           
Name5683  Surname1       8.47           
Name8737  Surname1       8.47           
Name3998  Surname2       8.47           
Name7152  Surname2       8.47           
Name908   Surname2       8.47           
Name1293  Surname1       8.46           
Name9904  Surname2       8.46           
Name6640  Surname2       8.46           
Name4468  Surname2       8.45           
Name3431  Surname1       8.45           
Name684   Surname2       8.45           
Name2031  Surname1       8.45           
Name5447  Surname1       8.45           
Name8427  Surname1       8.44           
Name7005  Surname1       8.44           
Name5474  Surname2       8.44           
Name471   Surname1       8.44           
Name283   Surname1       8.44           
Name3582  Surname2       8.44           
Name9413  Surname1       8.44           
Name4148  Surname2       8.43           
Name5726  Surname2       8.43           
Name1064  Surname2       8.43           
Name1854  Surname2       8.43           
Name1122  Surname2       8.43           
Name8679  Surname1       8.43           
Name6743  Surname1       8.43           
Name5088  Surname2       8.43           
Name1071  Surname1       8.42           
Name2739  Surname1       8.42           
Name11    Surname1       8.42           
Name6505  Surname1       8.42           
Name3110  Surname2       8.42           
Name7971  Surname1       8.42           
Name8413  Surname1       8.41           
Name8520  Surname2       8.41           
Name721   Surname1       8.41           
Name9554  Surname2       8.41           
Name3286  Surname2       8.40           
Name9921  Surname1       8.40           
Name1579  Surname1       8.40           
Name6637  Surname1       8.40           
Name5802  Surname2       8.40           
Name3246  Surname2       8.39           
Name8134  Surname2       8.39           
Name6131  Surname1       8.39           
Name1335  Surname1       8.39           
Name958   Surname2       8.39           
Name3731  Surname1       8.39           
Name23    Surname1       8.39           
Name8674  Surname2       8.39           
Name3101  Surname1       8.38           
Name7430  Surname2       8.38           
Name2005  Surname1       8.38           
Name9045  Surname1       8.38           
Name1483  Surname1       8.38           
Name9949  Surname1       8.38           
Name9450  Surname2       8.38           
Name6000  Surname2       8.37           
Name1262  Surname2       8.37           
Name6239  Surname1       8.37           
Name9379  Surname1       8.37           
Name6820  Surname2       8.37           
Name7063  Surname1       8.37           
Name1289  Surname1       8.37           
Name6809  Surname1       8.37           
Name1431  Surname1       8.37           
Name598   Surname2       8.37           
Name7059  Surname1       8.37           
Name8206  Surname2       8.37           
Name2919  Surname1       8.37           
Name6662  Surname2       8.37           
Name4114  Surname2       8.37           
Name185   Surname1       8.37           
Name1410  Surname2       8.36           
Name2838  Surname2       8.36           
Name1268  Surname2       8.36           
Name1493  Surname1       8.36           
Name3711  Surname1       8.36           
Name405   Surname1       8.35           
Name1116  Surname2       8.35           
Name4947  Surname1       8.35           
Name9235  Surname1       8.35           
Name1596  Surname2       8.35           
Name2164  Surname2       8.35           
Name4327  Surname1       8.35           
Name5131  Surname1       8.35           
Name277   Surname1       8.34           
Name5616  Surname2       8.34           
Name4786  Surname2       8.34           
Name712   Surname2       8.34           
Name4188  Surname2       8.34           
Name5544  Surname2       8.33           
Name1827  Surname1       8.33           
Name7393  Surname1       8.33           
Name4962  Surname2       8.33           
Name8770  Surname2       8.33           
Name9602  Surname2       8.33           
Name1876  Surname2       8.33           
Name15    Surname1       8.33           
Name9557  Surname1       8.33           
Name9588  Surname2       8.33           
Name993   Surname1       8.33           
Name9562  Surname2       8.32           
Name5281  Surname1       8.32           
Name2014  Surname2       8.32           
Name4619  Surname1       8.32           
Name4842  Surname2       8.32           
Name4030  Surname2       8.32           
Name3484  Surname2       8.32           
Name6802  Surname2       8.32           
Name7076  Surname2       8.31           
Name9662  Surname2       8.31           
Name8527  Surname1       8.31           
Name8289  Surname1       8.31           
Name9466  Surname2       8.31           
Name4646  Surname2       8.31           
Name7519  Surname1       8.31           
Name498   Surname2       8.31           
Name5825  Surname1       8.30           
Name1010  Surname2       8.30           
Name4120  Surname2       8.30           
Name6128  Surname2       8.30           
Name1996  Surname2       8.30           
Name95    Surname1       8.30           
Name9279  Surname1       8.30           
Name9579  Surname1       8.30           
Name978   Surname2       8.30           
Name3037  Surname1       8.29           
Name2575  Surname1       8.29           
Name3324  Surname2       8.29           
Name4224  Surname2       8.29           
Name618   Surname2       8.29           
Name3607  Surname1       8.28           
Name8677  Surname1       8.28           
Name9377  Surname1       8.28           
Name7655  Surname1       8.28           
Name8360  Surname2       8.28           
Name2113  Surname1       8.28           
Name1099  Surname1       8.28           
Name7729  Surname1       8.28           
Name1563  Surname1       8.28           
Name1320  Surname2       8.28           
Name6656  Surname2       8.28           
Name1294  Surname2       8.28           
Name486   Surname2       8.27           
Name9962  Surname2       8.27           
Name1646  Surname2       8.27           
Name569   Surname1       8.27           
Name9634  Surname2       8.27           
Name3175  Surname1       8.27           
Name5969  Surname1       8.27           
Name184   Surname2       8.26           
Name6150  Surname2       8.26           
Name7353  Surname1       8.26           
Name9347  Surname1       8.26           
Name9382  Surname2       8.26           
Name5939  Surname1       8.26           
Name2009  Surname1       8.26           
Name6066  Surname2       8.26           
Name9356  Surname2       8.26           
Name384   Surname2       8.25           
