Name      Surname   FinalGrade
Name4408  Surname2       9.75           
Name6443  Surname1       9.47           
Name4195  Surname1       9.40           
Name1485  Surname1       9.36           
Name3179  Surname1       9.35           
Name2775  Surname1       9.32           
Name2209  Surname1       9.30           
Name1045  Surname1       9.29           
Name6400  Surname2       9.28           
Name1111  Surname1       9.19           
Name1156  Surname2       9.18           
Name9641  Surname1       9.16           
Name8780  Surname2       9.15           
Name426   Surname2       9.15           
Name4120  Surname2       9.15           
Name1320  Surname2       9.14           
Name3566  Surname2       9.13           
Name4003  Surname1       9.13           
Name2251  Surname1       9.13           
Name9432  Surname2       9.12           
Name218   Surname2       9.11           
Name1852  Surname2       9.08           
Name4907  Surname1       9.07           
Name2258  Surname2       9.07           
Name9326  Surname2       9.05           
Name716   Surname2       9.04           
Name4816  Surname2       9.03           
Name8857  Surname1       9.03           
Name5683  Surname1       9.02           
Name4468  Surname2       9.01           
Name8723  Surname1       9.00           
Name5541  Surname1       9.00           
Name9200  Surname2       9.00           
Name8442  Surname2       8.98           
Name1071  Surname1       8.98           
Name4344  Surname2       8.98           
Name9279  Surname1       8.97           
Name3337  Surname1       8.97           
Name4754  Surname2       8.96           
Name254   Surname2       8.96           
Name1876  Surname2       8.96           
Name1842  Surname2       8.96           
Name7379  Surname1       8.95           
Name15    Surname1       8.94           
Name7005  Surname1       8.94           
Name9887  Surname1       8.94           
Name1293  Surname1       8.93           
Name7971  Surname1       8.93           
Name5339  Surname1       8.91           
Name4414  Surname2       8.91           
Name1177  Surname1       8.90           
Name3469  Surname1       8.90           
Name8830  Surname2       8.90           
Name3110  Surname2       8.90           
Name324   Surname2       8.89           
Name3828  Surname2       8.89           
Name3483  Surname1       8.89           
Name2005  Surname1       8.88           
Name5544  Surname2       8.87           
Name8770  Surname2       8.87           
Name4102  Surname2       8.87           
Name255   Surname1       8.87           
Name5296  Surname2       8.87           
Name2532  Surname2       8.86           
Name1335  Surname1       8.86           
Name908   Surname2       8.85           
Name9579  Surname1       8.85           
Name8046  Surname2       8.85           
Name1727  Surname1       8.83           
Name1663  Surname1       8.83           
Name2006  Surname2       8.82           
