Name      Surname   HW1     HW2     HW3     HW4     HW5     HW6     HW7     Exam    
Name1     Surname1  1.06    7.19    5.35    7.30    4.73    7.61    4.68    2.54    
Name2     Surname2  5.12    4.56    6.62    3.47    3.67    7.14    8.72    8.49    
Name3     Surname1  6.23    2.59    8.16    4.11    5.61    8.83    7.61    5.21    
Name4     Surname2  4.97    8.18    3.52    3.04    5.58    7.58    3.76    7.69    
Name5     Surname1  4.80    2.56    6.91    6.85    1.81    5.08    9.50    4.93    
Name6     Surname2  1.21    7.32    9.11    2.74    8.21    1.47    9.84    2.64    
Name7     Surname1  1.67    5.69    1.60    2.45    2.38    1.49    7.19    8.35    
Name8     Surname2  8.39    3.43    4.71    7.74    6.01    2.46    7.79    7.90    
Name9     Surname1  8.72    7.94    8.09    2.84    3.50    5.01    8.44    7.13    
Name10    Surname2  4.52    2.96    5.80    7.23    7.77    3.41    4.38    9.63    
Name11    Surname1  6.77    4.61    7.31    8.52    6.10    9.71    4.59    9.50    
Name12    Surname2  5.73    8.49    8.65    2.47    3.26    1.25    4.76    8.67    
Name13    Surname1  9.78    2.12    2.11    7.78    6.82    4.61    9.62    5.84    
Name14    Surname2  5.87    5.81    4.60    5.20    6.81    7.53    7.07    9.51    
Name15    Surname1  9.58    7.36    1.14    7.44    2.37    8.57    4.38    9.99    
Name16    Surname2  7.60    1.54    5.60    1.01    6.62    7.98    4.59    1.49    
Name17    Surname1  2.70    7.05    6.46    1.10    9.99    3.29    9.58    6.72    
Name18    Surname2  10.00   9.75    2.00    6.09    9.74    1.95    2.13    3.73    
Name19    Surname1  9.57    4.82    6.31    9.59    3.10    3.91    6.25    3.27    
Name20    Surname2  2.90    6.36    4.91    7.61    2.21    1.66    8.35    8.49    
Name21    Surname1  2.93    2.75    5.59    6.68    1.92    1.93    3.08    6.66    
Name22    Surname2  7.04    2.70    7.36    2.72    5.02    3.76    8.99    8.88    
Name23    Surname1  5.56    9.68    6.72    4.33    9.17    9.37    3.45    9.38    
Name24    Surname2  5.49    1.04    7.66    5.80    5.30    7.74    7.07    8.22    
Name25    Surname1  5.49    9.68    5.58    4.09    2.29    5.18    6.43    9.63    
Name26    Surname2  8.07    5.60    5.01    5.22    2.32    4.62    2.97    7.39    
Name27    Surname1  4.06    2.98    6.32    2.42    3.77    2.18    6.58    1.98    
Name28    Surname2  9.24    9.82    4.99    7.61    7.93    5.34    9.18    6.25    
Name29    Surname1  5.23    5.48    2.93    6.89    1.69    7.59    8.11    4.61    
Name30    Surname2  9.43    4.27    5.10    1.79    7.18    2.23    3.61    6.64    
Name31    Surname1  4.74    7.50    2.25    3.98    9.68    9.75    5.05    2.14    
Name32    Surname2  7.06    7.07    2.18    3.91    3.44    2.04    6.60    8.35    
Name33    Surname1  1.23    5.18    1.45    2.01    9.87    9.87    2.60    8.57    
Name34    Surname2  6.72    5.02    2.92    5.02    3.14    1.94    7.50    8.72    
Name35    Surname1  2.00    6.96    5.71    6.74    4.16    4.56    3.70    2.89    
Name36    Surname2  5.30    8.27    1.09    8.48    5.33    9.85    2.58    4.22    
Name37    Surname1  5.95    1.86    2.92    1.30    5.27    5.21    4.16    4.78    
Name38    Surname2  2.92    7.43    5.06    6.87    9.03    7.87    6.56    5.38    
Name39    Surname1  3.70    5.46    4.98    2.50    4.68    1.71    9.53    8.61    
Name40    Surname2  3.12    7.81    3.21    6.23    8.28    2.37    8.77    8.65    
Name41    Surname1  5.44    2.63    1.75    9.85    6.41    4.70    5.38    5.33    
Name42    Surname2  7.71    7.24    5.98    5.35    6.13    1.43    4.27    7.81    
Name43    Surname1  2.66    3.60    4.59    6.87    9.60    7.43    3.43    2.35    
Name44    Surname2  4.12    9.83    9.33    1.66    9.30    2.10    9.21    5.01    
Name45    Surname1  1.19    9.12    1.36    8.98    6.78    5.83    4.29    3.34    
Name46    Surname2  3.86    2.44    5.24    8.97    9.82    5.39    5.71    3.76    
Name47    Surname1  6.62    5.62    6.83    9.48    4.10    5.08    7.43    1.85    
Name48    Surname2  2.98    5.04    6.13    2.87    5.52    1.48    3.02    6.94    
Name49    Surname1  7.62    8.53    4.02    4.34    6.87    8.03    6.54    1.52    
Name50    Surname2  2.06    1.50    2.39    2.80    6.69    3.00    7.90    5.46    
Name51    Surname1  8.06    5.71    9.19    5.71    6.03    6.14    2.50    3.16    
Name52    Surname2  6.76    2.39    1.58    9.13    7.11    2.04    4.69    6.76    
Name53    Surname1  4.34    2.27    3.16    7.28    4.55    7.84    2.21    6.07    
Name54    Surname2  7.53    4.35    5.30    8.89    1.20    8.02    1.54    3.14    
Name55    Surname1  4.22    5.35    5.30    7.87    6.55    9.02    7.18    4.97    
Name56    Surname2  6.20    2.00    2.10    9.65    8.23    8.15    9.85    7.15    
Name57    Surname1  4.76    7.23    4.00    8.32    6.24    4.20    2.19    2.98    
Name58    Surname2  6.64    5.07    4.24    4.59    3.82    6.53    7.08    8.33    
Name59    Surname1  3.44    2.72    2.83    8.50    4.45    2.52    1.31    5.08    
Name60    Surname2  5.59    9.18    4.70    8.64    8.76    1.90    3.52    3.75    
Name61    Surname1  5.97    6.88    5.35    5.79    9.80    7.24    4.47    5.65    
Name62    Surname2  7.10    4.13    5.74    5.03    2.21    9.51    6.43    8.77    
Name63    Surname1  9.26    1.03    6.24    6.26    5.71    8.30    5.04    5.99    
Name64    Surname2  5.28    4.12    5.96    7.35    5.13    8.96    7.64    3.57    
Name65    Surname1  8.47    4.83    2.96    4.34    5.16    9.67    6.34    6.36    
Name66    Surname2  7.61    7.85    8.10    9.13    8.07    3.64    3.54    2.43    
Name67    Surname1  4.19    4.02    6.67    8.32    9.83    9.91    5.23    6.09    
Name68    Surname2  5.84    3.58    7.16    1.02    7.32    1.05    1.99    7.86    
Name69    Surname1  2.63    4.38    5.38    1.57    5.52    2.48    4.43    2.89    
Name70    Surname2  4.30    7.70    3.75    9.09    5.26    6.57    5.33    5.24    
Name71    Surname1  8.11    6.32    3.75    4.21    2.14    5.97    1.39    3.38    
Name72    Surname2  1.50    7.10    8.19    9.67    5.53    9.93    6.94    5.85    
Name73    Surname1  5.89    7.55    4.10    9.17    1.57    5.04    5.08    3.65    
Name74    Surname2  1.32    2.82    9.44    3.63    7.55    1.71    6.09    8.38    
Name75    Surname1  7.69    4.82    5.20    8.21    6.40    7.48    4.57    8.21    
Name76    Surname2  9.25    1.33    1.05    7.86    2.92    4.67    2.74    7.56    
Name77    Surname1  6.35    1.69    1.50    8.97    6.81    9.21    2.06    8.41    
Name78    Surname2  5.43    3.27    3.34    8.78    5.85    6.83    1.55    7.63    
Name79    Surname1  6.73    3.06    6.56    9.20    5.87    7.09    3.26    1.72    
Name80    Surname2  5.48    1.86    5.91    6.66    7.45    2.49    6.71    2.83    
Name81    Surname1  9.40    6.98    9.73    9.98    9.25    4.17    3.98    7.85    
Name82    Surname2  3.29    5.74    3.41    1.54    8.65    5.51    4.06    3.95    
Name83    Surname1  8.31    8.47    4.51    7.48    6.22    6.34    8.69    5.57    
Name84    Surname2  2.72    2.72    6.45    9.81    1.70    5.20    4.29    4.60    
Name85    Surname1  4.31    5.23    3.53    5.77    3.22    4.29    4.40    4.49    
Name86    Surname2  1.15    5.05    8.18    9.26    5.95    8.99    6.14    4.93    
Name87    Surname1  4.76    4.61    1.39    1.77    3.26    8.91    4.52    2.38    
Name88    Surname2  3.32    1.60    2.66    8.45    3.99    1.00    1.89    6.76    
Name89    Surname1  4.79    7.13    1.30    2.90    4.79    8.62    6.10    7.43    
Name90    Surname2  8.28    9.73    8.20    8.22    3.18    1.12    1.78    4.67    
Name91    Surname1  1.15    4.05    7.22    1.33    5.64    3.00    7.97    8.53    
Name92    Surname2  4.66    7.69    5.70    1.07    4.90    5.22    8.83    1.75    
Name93    Surname1  2.58    9.61    7.52    2.83    6.85    8.27    3.23    1.46    
Name94    Surname2  6.86    6.92    2.91    8.34    3.13    3.48    6.78    7.11    
Name95    Surname1  8.80    2.43    1.68    9.82    6.59    4.89    6.01    10.00   
Name96    Surname2  3.91    4.68    1.82    6.16    8.35    6.17    5.13    5.78    
Name97    Surname1  9.31    4.97    7.33    6.71    9.74    6.40    6.38    8.46    
Name98    Surname2  7.45    2.16    3.99    4.74    8.62    8.05    3.56    9.36    
Name99    Surname1  5.13    1.75    8.62    1.14    3.48    6.85    5.79    6.73    
Name100   Surname2  8.49    1.67    9.87    9.13    7.56    9.86    6.95    6.49    
Name101   Surname1  1.81    5.53    8.22    1.85    5.11    8.53    5.41    9.73    
Name102   Surname2  5.42    8.99    5.10    7.85    6.33    8.01    3.78    1.01    
Name103   Surname1  3.54    9.70    1.85    8.52    9.69    2.13    1.43    1.10    
Name104   Surname2  1.53    1.85    8.04    3.05    1.43    9.70    6.79    6.25    
Name105   Surname1  5.28    6.03    9.89    6.08    7.77    4.52    9.22    5.30    
Name106   Surname2  9.20    1.30    6.11    9.76    5.41    7.22    8.65    2.35    
Name107   Surname1  9.61    3.08    2.81    8.30    2.73    2.59    5.79    1.94    
Name108   Surname2  9.81    3.99    3.31    3.56    6.74    7.34    4.81    1.31    
Name109   Surname1  4.10    9.96    7.18    3.50    4.61    6.05    9.33    2.10    
Name110   Surname2  2.83    3.50    1.32    6.42    1.67    8.58    2.45    3.01    
Name111   Surname1  3.79    7.36    6.12    7.79    8.75    2.10    2.29    5.31    
Name112   Surname2  2.15    3.79    2.39    4.22    2.10    9.81    8.06    6.64    
Name113   Surname1  3.56    7.02    3.87    2.15    3.70    4.08    3.72    3.49    
Name114   Surname2  6.76    8.57    2.49    4.41    6.10    7.35    7.62    3.65    
Name115   Surname1  3.84    5.07    2.70    1.42    6.06    8.69    2.30    9.48    
Name116   Surname2  6.98    8.43    9.08    4.86    7.18    5.93    4.68    4.31    
Name117   Surname1  7.33    4.89    3.73    9.44    4.45    5.60    5.44    1.94    
Name118   Surname2  3.41    8.48    9.25    9.41    3.64    9.51    5.29    8.39    
Name119   Surname1  4.05    2.11    3.75    8.86    8.15    7.62    6.81    4.13    
Name120   Surname2  9.30    8.25    5.69    6.78    3.66    9.73    4.27    7.22    
Name121   Surname1  5.63    2.03    7.55    1.85    3.86    7.56    8.54    5.94    
Name122   Surname2  5.35    6.94    9.68    3.16    9.72    8.30    8.92    2.27    
Name123   Surname1  8.54    2.57    2.00    5.41    4.35    9.19    7.34    1.70    
